item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
Alpinestars T-Core Drystar Men's Street Motorcycle Jackets - Black/Yellow Fluorescent/Large		1006AWWAR97	28204369		0	2023-10-06 06:52:23 PDT		y	1			11				B078TT72HF						B078TT72HF			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-Core Drystar Men's Street Motorcycle Jackets - Black/Yellow Fluorescent/X-Large		1006AX5YL85	28204370		0	2023-10-06 06:52:23 PDT		y	1			11				B078TT75LY						B078TT75LY			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-Core Drystar Men's Street Motorcycle Jackets - Black/Yellow Fluorescent / 2X-Large		1006AX8NJ9X	28204371		0	2023-10-06 06:52:23 PDT		y	1			11				B078TN1KM5						B078TN1KM5			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's T-Core Air Drystar Waterproof Textile Street Motorcycle Jacket, Black/Yellow, 3X-Large		1006AX37KMD	28204372		0	2023-10-06 06:52:23 PDT		y	1			11				B079RM66PD						B079RM66PD			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Yaguara Drystar Men's Street Motorcycle Jackets - Black/Dark Gray/Mid Gray/Small		1006AX33WJF	28204445		0	2023-10-06 06:39:42 PDT		y	1			11				B078TTXSGK						B078TTXSGK			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Yaguara Drystar Men's Street Motorcycle Jackets - Black/Dark Gray/Mid Gray/Medium		1006AWZZ2QD	28204446		0	2023-10-06 06:39:42 PDT		y	1			11				B078TMMGR6						B078TMMGR6			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Yaguara Drystar Men's Street Motorcycle Jackets - Black/Dark Gray/Mid Gray/Large		1006AX2HHNN	28204447		0	2023-10-06 06:39:42 PDT		y	1			11				B078TSYTT1						B078TSYTT1			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Yaguara Drystar Men's Street Motorcycle Jackets - Black/Dark Gray/Mid Gray / 2X-Large		1006AX5HETA	28204449		0	2023-10-06 06:39:42 PDT		y	1			11				B078TTNS9X						B078TTNS9X			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Yaguara Drystar Men's Street Motorcycle Jackets - Black/Dark Gray/Mid Gray / 3X-Large		1006AX204IP	28204450		0	2023-10-06 06:39:42 PDT		y	1			11				B079N39F78						B079N39F78			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Yaguara Drystar Tech-Air Compatible Men's Street Motorcycle Jacket - Black/Dark Grey/Yellow/Large		1006AWZ19U8	28204453		0	2023-10-06 06:39:42 PDT		y	1			11				B078TMTFJ6						B078TMTFJ6			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Yaguara Drystar Tech-Air Compatible Men's Street Motorcycle Jacket - Black/Dark Grey/Yellow/X-Large		1006AX2WPMO	28204454		0	2023-10-06 06:39:42 PDT		y	1			11				B078TTHT45						B078TTHT45			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Yaguara Drystar Waterproof Textile Motorcycle Jacket Tech-Air Compatible, Black/Anthracite, Small		1006AX2KF59	28204457		0	2023-10-06 06:39:42 PDT		y	1			11				B078TT2LMF						B078TT2LMF			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Yaguara Drystar Tech-Air Compatible Men's Street Motorcycle Jacket - Black/Anthracite/Medium		1006AX5S44G	28204459		0	2023-10-06 06:39:42 PDT		y	1			11				B078TTCGT2						B078TTCGT2			0	DEFAULT	Migrated Template	Incomplete
Alpinestars Men's Yaguara Drystar Waterproof Textile Motorcycle Jacket Tech-Air Compatible, Black/Anthracite, 3X-Large		1006AX2GVWV	28204462		0	2023-10-06 06:39:42 PDT		y	1			11				B07BQN5G9M						B07BQN5G9M			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP R V2 Waterproof Street Jacket-Black/White-S		1006AX0K4JB	28204586		0	2023-10-06 06:52:23 PDT		y	1			11				B07FQPKPTV						B07FQPKPTV			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP R V2 Waterproof Street Jacket-Black/White-M		1006AX39C6P	28204587		0	2023-10-06 06:52:23 PDT		y	1			11				B07FQV8K4N						B07FQV8K4N			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP R V2 Waterproof Street Jacket-Black/White-L		1006AX2M3UK	28204588		0	2023-10-06 06:52:23 PDT		y	1			11				B07FQDW653						B07FQDW653			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP R V2 Waterproof Street Jacket-Black/White-XL		1006AX3HHTY	28204589		0	2023-10-06 06:52:23 PDT		y	1			11				B07FQS8WFZ						B07FQS8WFZ			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP R V2 Waterproof Street Jacket-Black/White-2XL		1006AX1O4VY	28204590		0	2023-10-06 06:52:23 PDT		y	1			11				B07FQDWGY1						B07FQDWGY1			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP R V2 Waterproof Street Jacket-Black/White-3XL		1006AX23LX9	28204591		0	2023-10-06 06:52:23 PDT		y	1			11				B07GDBTL69						B07GDBTL69			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP Plus R V2 Waterproof Jacket (XXXX-LARGE) (BLACK/WHITE)		1006AX0KMR8	28204592		0	2023-10-06 06:52:23 PDT		y	1			11				B07GDCK4KS						B07GDCK4KS			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP R V2 Waterproof Street Jacket-Black/White/Red-S		1006AX36KBJ	28204593		0	2023-10-06 06:52:23 PDT		y	1			11				B07FQSX9NV						B07FQSX9NV			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP R V2 Waterproof Street Jacket-Black/White/Red-M		1006AWYKFKF	28204594		0	2023-10-06 06:52:23 PDT		y	1			11				B07FQVD55F						B07FQVD55F			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP R V2 Waterproof Street Jacket-Black/White/Red-L		1006AX3H0QT	28204595		0	2023-10-06 06:52:23 PDT		y	1			11				B07FQS5C9W						B07FQS5C9W			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP R V2 Waterproof Street Jacket-Black/White/Red-XL		1006AWYHA6Z	28204596		0	2023-10-06 06:52:23 PDT		y	1			11				B07FQMPWVW						B07FQMPWVW			0	DEFAULT	Migrated Template	Incomplete
Alpinestars T-GP R V2 Waterproof Street Jacket-Black/White/Red-2XL		1006AX8P5PF	28204597		0	2023-10-06 06:52:23 PDT		y	1			11				B07FQVD536						B07FQVD536			0	DEFAULT	Migrated Template	Incomplete
